Price,Open,High,Low,Close,Volume,Daily Return
Ticker,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC,
Date,,,,,,
2008-01-02,1467.97,1471.77,1442.07,1447.16,3452650000,
2008-01-03,1447.55,1456.8,1443.73,1447.16,3429500000,0.0
2008-01-04,1444.01,1444.01,1411.19,1411.63,4166000000,-0.024551535421100668
2008-01-07,1414.07,1423.87,1403.45,1416.18,4221260000,0.003223224215977316
2008-01-08,1415.71,1430.28,1388.3,1390.19,4705390000,-0.018352186868900833
2008-01-09,1390.25,1409.19,1378.7,1409.13,5351030000,0.013624037002136546
2008-01-10,1406.78,1429.09,1395.31,1420.33,5170490000,0.007948166599249129
2008-01-11,1419.91,1419.91,1394.83,1401.02,4495840000,-0.013595432047481926
2008-01-14,1402.91,1417.89,1402.91,1416.25,3682090000,0.010870651382564045
2008-01-15,1411.88,1411.88,1380.6,1380.95,4601640000,-0.02492497793468662
2008-01-16,1377.41,1391.99,1364.27,1373.2,5440620000,-0.005612078641514917
2008-01-17,1374.79,1377.72,1330.67,1333.25,5303130000,-0.029092630352461457
2008-01-18,1333.9,1350.28,1312.51,1325.19,6004840000,-0.006045377836114696
2008-01-22,1312.94,1322.09,1274.29,1310.5,6544690000,-0.011085202876568667
2008-01-23,1310.41,1339.09,1270.05,1338.6,3241680000,0.021442197634490512
2008-01-24,1340.13,1355.15,1334.31,1352.07,5735300000,0.010062752129090136
2008-01-25,1357.32,1368.56,1327.5,1330.61,4882250000,-0.015871959292048543
2008-01-28,1330.7,1353.97,1322.26,1353.96,4100930000,0.017548342489535074
2008-01-29,1355.94,1364.93,1350.19,1362.3,4232960000,0.0061597092971725775
2008-01-30,1362.22,1385.86,1352.95,1355.81,4742760000,-0.004764002055347549
2008-01-31,1351.98,1385.62,1334.08,1378.55,4970290000,0.01677226160007672
2008-02-01,1378.6,1396.02,1375.93,1395.42,4650770000,0.012237495919625863
2008-02-04,1395.38,1395.38,1379.69,1380.82,3495780000,-0.010462799730547201
2008-02-05,1380.28,1380.28,1336.64,1336.64,4315740000,-0.03199548094610438
2008-02-06,1339.48,1351.96,1324.34,1326.45,4008120000,-0.007623593488149449
2008-02-07,1324.01,1347.16,1316.75,1336.91,4589160000,0.00788570997776028
2008-02-08,1336.88,1341.22,1321.06,1331.29,3768490000,-0.004203723511679969
2008-02-11,1331.92,1341.4,1320.32,1339.13,3593140000,0.005889024930706421
2008-02-12,1340.55,1362.1,1339.36,1348.86,4044640000,0.00726591144997113
2008-02-13,1353.12,1369.23,1350.78,1367.21,3856420000,0.01360408048277817
2008-02-14,1367.33,1368.16,1347.31,1348.86,3644760000,-0.013421493406280072
2008-02-15,1347.52,1350.0,1338.13,1349.99,3583300000,0.0008377444656970656
2008-02-19,1355.86,1367.28,1345.05,1348.78,3613550000,-0.0008963029355772978
